country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",20-03-2026 16:00,22.977134,72.553024,CO,1,46,32
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",20-03-2026 16:00,22.977134,72.553024,OZONE,1,51,5
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",20-03-2026 16:00,23.002657,72.591912,PM10,49,219,106
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",20-03-2026 16:00,23.002657,72.591912,CO,11,37,30
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",20-03-2026 16:00,23.020509,72.579261,OZONE,2,42,26
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",20-03-2026 16:00,23.016834,72.625775,NO2,58,135,87
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",20-03-2026 16:00,23.016834,72.625775,NH3,9,14,11
India,Delhi,Delhi,"JNU, Delhi - DPCC",20-03-2026 16:00,28.540721,77.168544,NH3,4,6,5
India,Delhi,Delhi,"JNU, Delhi - DPCC",20-03-2026 16:00,28.540721,77.168544,CO,103,108,105
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",20-03-2026 16:00,28.73282,77.170633,PM2.5,42,321,120
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-03-2026 16:00,28.58028,77.233829,PM10,33,119,68
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-03-2026 16:00,28.58028,77.233829,NO2,26,63,44
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-03-2026 16:00,28.58028,77.233829,SO2,1,19,11
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",20-03-2026 16:00,28.636429,77.201067,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - DPCC",20-03-2026 16:00,28.639652,77.146275,NH3,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - DPCC",20-03-2026 16:00,28.639652,77.146275,OZONE,7,59,26
India,Delhi,Delhi,"Pusa, Delhi - IMD",20-03-2026 16:00,28.63611,77.173332,OZONE,1,183,64
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",20-03-2026 16:00,28.563262,77.186937,NH3,7,10,8
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",20-03-2026 16:00,28.563262,77.186937,SO2,2,37,14
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",20-03-2026 16:00,28.6514781,77.1473105,NH3,11,14,12
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",20-03-2026 16:00,28.62181,77.1944633,NH3,6,11,8
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",20-03-2026 16:00,28.672342,77.31526,PM2.5,80,313,154
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",20-03-2026 16:00,28.672342,77.31526,NH3,6,7,6
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",20-03-2026 16:00,28.672342,77.31526,CO,59,69,64
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",20-03-2026 16:00,28.672342,77.31526,OZONE,6,39,10
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",20-03-2026 16:00,28.699793,77.165453,OZONE,3,73,45
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",20-03-2026 16:00,28.5504249,77.2159377,NH3,11,17,14
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",20-03-2026 16:00,28.710508,77.249485,NO2,10,31,19
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",20-03-2026 16:00,28.710508,77.249485,OZONE,6,40,23
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",20-03-2026 16:00,28.531346,77.190156,NO2,19,38,28
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",20-03-2026 16:00,28.531346,77.190156,NH3,6,10,8
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",20-03-2026 16:00,28.6811736,77.3025234,NH3,1,13,8
India,Delhi,Delhi,"ITO, Delhi - CPCB",20-03-2026 16:00,28.628624,77.24106,SO2,12,51,33
India,Delhi,Delhi,"JNU, Delhi - DPCC",20-03-2026 16:00,28.540721,77.168544,PM2.5,4,169,54
India,Delhi,Delhi,"Mundka, Delhi - DPCC",20-03-2026 16:00,28.684678,77.076574,PM10,27,151,74
India,Delhi,Delhi,"Mundka, Delhi - DPCC",20-03-2026 16:00,28.684678,77.076574,NO2,44,107,80
India,Delhi,Delhi,"Mundka, Delhi - DPCC",20-03-2026 16:00,28.684678,77.076574,NH3,7,10,9
India,Delhi,Delhi,"Mundka, Delhi - DPCC",20-03-2026 16:00,28.684678,77.076574,OZONE,2,24,15
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",20-03-2026 16:00,28.594004,76.909423,OZONE,7,54,36
India,Delhi,Delhi,"Narela, Delhi - DPCC",20-03-2026 16:00,28.822836,77.101981,CO,44,58,49
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",20-03-2026 16:00,28.806223,76.141105,NH3,8,20,10
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",20-03-2026 16:00,28.806223,76.141105,SO2,1,12,4
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",20-03-2026 16:00,28.593883,76.270653,PM10,15,144,79
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",20-03-2026 16:00,28.593883,76.270653,SO2,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",20-03-2026 16:00,28.2068,76.7997,NH3,9,26,19
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",20-03-2026 16:00,28.376058,77.315741,NO2,29,33,31
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",20-03-2026 16:00,28.376058,77.315741,CO,27,44,41
